,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
evm.model.tig082700000365.16,1439.342559,-14.30215958,2.151820001,-6.646540869,3.00E-11,1.12E-08
evm.model.tig082700000238.87,854.7492211,-13.55059459,1.859755195,-7.286224891,3.19E-13,2.28E-10
evm.model.tig082700000147.5,550.0710978,-12.9127492,1.659249366,-7.782283643,7.12E-15,8.86E-12
evm.model.tig082700000016.637,414.0767501,-12.50485207,1.890125921,-6.615883063,3.69E-11,1.32E-08
evm.model.tig082700000377.10,338.9226452,-12.21822786,1.396197817,-8.751072171,2.11E-18,1.97E-14
evm.model.tig082700000075.368,336.6378644,-12.20636209,1.678760222,-7.27105749,3.57E-13,2.38E-10
evm.model.tig082700000136.101,307.4512581,-12.07481647,1.942637632,-6.215681334,5.11E-10,1.44E-07
evm.model.tig082700000279.64,302.6830419,-12.05372012,1.606818082,-7.501608462,6.30E-14,5.88E-11
evm.model.tig082700002120.395,285.7965202,-11.96641272,1.381650018,-8.660957962,4.68E-18,2.91E-14
evm.model.tig082700002120.282,284.7723937,-11.96404346,2.882458004,-4.150639295,3.32E-05,0.002232143
evm.model.tig082700000075.361,242.4090334,-11.7321158,1.601822868,-7.324227934,2.40E-13,1.79E-10
evm.model.tig082700000228.81,236.5460259,-11.69738264,1.458701301,-8.019039013,1.07E-15,1.66E-12
evm.model.tig082700000075.565,232.2644346,-11.66912746,1.333444881,-8.75111347,2.11E-18,1.97E-14
evm.model.tig082700000328.85,231.4989331,-11.66879702,1.378498683,-8.464859024,2.56E-17,9.57E-14
evm.model.tig082700031375.6,230.0054517,-11.65299779,1.388446336,-8.392832684,4.75E-17,1.26E-13
evm.model.tig082700000122.3,227.980325,-11.64279439,1.352697868,-8.607091554,7.49E-18,3.49E-14
evm.model.tig082700000428.20,221.4867541,-11.60242964,2.711948729,-4.2782629,1.88E-05,0.001491023
evm.model.tig082700000372.4,198.1517412,-11.43670743,1.580426877,-7.236467308,4.61E-13,2.96E-10
evm.model.tig082700000067.28,168.5175732,-11.20995668,1.372298311,-8.168746252,3.12E-16,5.81E-13
evm.model.tig082700000020.13,164.0779831,-11.16609959,1.781119959,-6.26914517,3.63E-10,1.07E-07
evm.model.tig082700000071.222,163.6413235,-11.16226576,1.328299821,-8.40342337,4.34E-17,1.26E-13
evm.model.tig082700000162.22,162.6324743,-11.160736,1.440663539,-7.74694139,9.41E-15,1.10E-11
evm.model.tig082700000075.477,162.0858904,-11.14954985,1.402041162,-7.95236984,1.83E-15,2.62E-12
evm.model.tig082700000180.42,156.5604874,-11.1003901,2.88637836,-3.845784827,0.000120167,0.006073165
evm.model.tig082700000163.140,149.353881,-11.03492933,1.704025969,-6.475798807,9.43E-11,3.09E-08
evm.model.tig082700000122.158,149.6181035,-11.0335051,1.445312637,-7.633991994,2.28E-14,2.50E-11
evm.model.tig082700000075.343,146.8211997,-11.00840203,1.454965865,-7.566089552,3.85E-14,3.88E-11
evm.model.tig082700002117.265,141.3813036,-10.95409353,1.693044904,-6.470054929,9.80E-11,3.15E-08
evm.model.tig082700000136.52,141.2793679,-10.95250066,1.645118427,-6.657575824,2.78E-11,1.06E-08
evm.model.tig082700000240.54,133.9925029,-10.87492539,1.328580586,-8.185371292,2.71E-16,5.63E-13
evm.model.tig082700002115.25,132.1787703,-10.85909157,1.516333697,-7.161412816,7.98E-13,4.51E-10
evm.model.tig082700000174.11,130.3763043,-10.84236298,1.389566207,-7.802696211,6.06E-15,8.07E-12
evm.model.tig082700000075.513,127.8442228,-10.81063986,2.594134631,-4.167339554,3.08E-05,0.002108828
evm.model.tig082700000127.292,128.3499875,-10.80856236,1.537581891,-7.029584848,2.07E-12,1.07E-09
evm.model.tig082700000016.432,124.2819367,-10.76282194,1.578998241,-6.81623428,9.35E-12,4.05E-09
evm.model.tig082700000120.309,116.6768782,-10.67634741,1.43653123,-7.432032933,1.07E-13,9.07E-11
evm.model.tig082700000289.66,115.7029519,-10.66619762,1.623877984,-6.568349177,5.09E-11,1.79E-08
evm.model.tig082700031372.161,114.4643297,-10.64228997,1.607964283,-6.618486541,3.63E-11,1.32E-08
evm.model.tig082700000206.75,109.2788467,-10.58565087,1.930695391,-5.482817706,4.19E-08,8.05E-06
evm.model.tig082700000020.390,103.1150372,-10.50080328,1.442092141,-7.281645175,3.30E-13,2.28E-10
evm.model.tig082700000360.13,95.53491759,-10.39275077,1.374219656,-7.562656179,3.95E-14,3.88E-11
evm.model.tig082700000338.10,95.92329417,-10.38994097,1.63098247,-6.370357233,1.89E-10,5.86E-08
evm.model.tig082700000125.247,91.41052521,-10.33043787,1.667829877,-6.193939811,5.87E-10,1.63E-07
evm.model.tig082700000016.733,89.73371005,-10.3007265,1.395186403,-7.383046791,1.55E-13,1.25E-10
evm.model.tig082700000175.207,87.93463061,-10.27572006,1.497171598,-6.863421719,6.72E-12,3.13E-09
evm.model.tig082700002120.51,87.39422373,-10.26205444,1.446501549,-7.094395752,1.30E-12,6.92E-10
evm.model.tig082700000020.442,86.49372788,-10.24524414,2.94218779,-3.482185662,0.000497339,0.018439106
evm.model.tig082700000071.420,84.92809524,-10.22128391,2.603069846,-3.926626833,8.61E-05,0.00478133
evm.model.tig082700000446.16,84.3970477,-10.21557932,1.642902219,-6.218008111,5.04E-10,1.44E-07
evm.model.tig082700000169.108,83.02234716,-10.19053965,1.558053478,-6.540558331,6.13E-11,2.08E-08
evm.model.tig082700000149.79,79.40095271,-10.12815307,1.693126938,-5.981921877,2.21E-09,5.48E-07
evm.model.tig082700000075.303,78.65780753,-10.10651252,1.478745383,-6.834518392,8.23E-12,3.74E-09
evm.model.tig082700000120.250,77.98588379,-10.0948344,2.919107488,-3.458192081,0.000543814,0.019692385
evm.model.tig082700000020.110,77.59218155,-10.08958877,1.404544192,-7.183532445,6.79E-13,4.09E-10
evm.model.tig082700000140.224,76.73954374,-10.07535897,2.615908512,-3.851571614,0.000117362,0.006012878
evm.model.tig082700000140.61,72.90174772,-10.00149275,2.621751278,-3.814813722,0.000136286,0.006777579
evm.model.tig082700000192.12,68.9464041,-9.91602721,1.51457106,-6.547086151,5.87E-11,2.03E-08
evm.model.tig082700031372.96,68.72451871,-9.915063426,1.456499507,-6.807460885,9.93E-12,4.21E-09
evm.model.tig082700000075.551,67.47177061,-9.892624699,1.479662617,-6.685729966,2.30E-11,9.12E-09
evm.model.tig082700000180.181,66.02614482,-9.858541445,2.620480577,-3.762112007,0.000168485,0.008035981
evm.model.tig082700000132.240,62.81499316,-9.774656966,1.925641333,-5.076052741,3.85E-07,5.85E-05
evm.model.tig082700000444.2,62.25778624,-9.774310844,1.879590113,-5.200235294,1.99E-07,3.34E-05
evm.model.tig082700000349.18,61.8198567,-9.755352024,1.913387716,-5.098471127,3.42E-07,5.46E-05
evm.model.tig082700000172.16,60.58274285,-9.732122777,1.637979817,-5.941540106,2.82E-09,6.87E-07
evm.model.tig082700002120.179,56.5063951,-9.633870072,1.697059191,-5.676802627,1.37E-08,2.88E-06
evm.model.tig082700000075.539,56.22500349,-9.630494756,1.829030348,-5.265355364,1.40E-07,2.49E-05
evm.model.tig082700000175.7,56.44648402,-9.626174977,2.874110015,-3.349271575,0.000810243,0.026551549
evm.model.tig082700000132.108,55.86109626,-9.614489367,2.824187421,-3.404338287,0.000663246,0.02286297
evm.model.tig082700000075.314,54.76506234,-9.592552135,1.91832631,-5.00047989,5.72E-07,8.08E-05
evm.model.tig082700000296.33,11511.68627,-9.58489584,1.339930007,-7.153280985,8.47E-13,4.65E-10
evm.model.tig082700000228.46,53.66736043,-9.555929508,2.825435427,-3.382108618,0.000719317,0.024301707
evm.model.tig082700000184.140,53.64798229,-9.553425101,1.519322575,-6.287950469,3.22E-10,9.68E-08
evm.model.tig082700000206.45,50.62766276,-9.471705529,1.420781425,-6.666546568,2.62E-11,1.02E-08
evm.model.tig082700000020.353,48.25752711,-9.412375959,1.909798914,-4.928464401,8.29E-07,0.000112818
evm.model.tig082700000120.302,47.85412241,-9.389400738,2.984895072,-3.145638461,0.001657247,0.044025648
evm.model.tig082700000075.421,47.31946414,-9.37925076,2.665007465,-3.519408813,0.00043251,0.016460966
evm.model.tig082700000127.291,45.30044544,-9.30111022,1.769805398,-5.255442339,1.48E-07,2.57E-05
evm.model.tig082700000122.10,44.47981653,-9.283227112,2.865952128,-3.239142421,0.001198897,0.03466392
evm.model.tig082700000318.56,43.39787617,-9.254795187,2.907405821,-3.1831797,0.001456672,0.0397919
evm.model.tig082700000272.10,41.20366938,-9.183513557,1.575779226,-5.827918915,5.61E-09,1.30E-06
evm.model.tig082700000067.470,41.37219182,-9.167299899,1.696261787,-5.404413381,6.50E-08,1.21E-05
evm.model.tig082700000120.269,40.26265472,-9.146366282,2.684769562,-3.406760272,0.000657388,0.02270303
evm.model.tig082700000094.11,39.13708775,-9.108470764,2.004461852,-4.544097835,5.52E-06,0.000556154
evm.model.tig082700000128.197,38.22162783,-9.07303215,1.976821778,-4.589706696,4.44E-06,0.000468398
evm.model.tig082700000258.64,38.00104325,-9.0625863,2.722126338,-3.3292306,0.000870863,0.027387383
evm.model.tig082700000611.4,34.42670351,-8.921255348,2.712078923,-3.289452704,0.001003824,0.030605636
evm.model.tig082700000212.82,33.17154077,-8.871650349,2.097003779,-4.230631551,2.33E-05,0.001745338
evm.model.tig082700000283.9,29.08832664,-8.679293831,2.759843177,-3.144850368,0.001661718,0.04408162
evm.model.tig082700000195.133,28.01779456,-8.625140526,2.760773501,-3.124175353,0.001783042,0.04637649
evm.model.tig082700000113.40,23.76153037,-8.376850584,1.650037513,-5.076763721,3.84E-07,5.85E-05
evm.model.tig082700000071.488,17378.88915,-8.197919053,1.118026635,-7.33248994,2.26E-13,1.76E-10
evm.model.tig082700000127.160,26337.13117,-7.965604114,1.320361791,-6.032895049,1.61E-09,4.17E-07
evm.model.tig082700002117.291,9897.259229,-7.93102745,1.06158684,-7.470917267,7.96E-14,7.07E-11
evm.model.tig082700000128.51,3571.701113,-7.676838477,1.070443912,-7.171640095,7.41E-13,4.32E-10
evm.model.tig082700000127.77,17262.95011,-7.64462372,1.139885569,-6.706483464,1.99E-11,8.08E-09
evm.model.tig082700000221.39,11018.04791,-7.51072136,1.379171885,-5.445819658,5.16E-08,9.71E-06
evm.model.tig082700000153.307,7652.961319,-7.468890526,1.492090741,-5.005654362,5.57E-07,7.93E-05
evm.model.tig082700000120.214,12039.21793,-7.462585696,1.468945172,-5.080234332,3.77E-07,5.85E-05
evm.model.tig082700000155.26,12937.4641,-7.402125025,1.064135653,-6.955997576,3.50E-12,1.76E-09
evm.model.tig082700000132.120,6663.599447,-7.280571907,1.056922749,-6.888461731,5.64E-12,2.70E-09
evm.model.tig082700000125.250,11350.32353,-7.244788245,1.560942601,-4.641290615,3.46E-06,0.000384347
evm.model.tig082700000075.117,17557.08857,-7.23808646,1.570017836,-4.610193778,4.02E-06,0.000433663
evm.model.tig082700000127.154,4239.651489,-7.127329162,1.100655436,-6.475531696,9.45E-11,3.09E-08
evm.model.tig082700000071.192,18952.94515,-7.080912005,1.052602832,-6.727050115,1.73E-11,7.18E-09
evm.model.tig082700000427.5,3529.319764,-7.041633346,1.454279107,-4.842009565,1.29E-06,0.00016196
evm.model.tig082700000258.86,8144.946246,-7.039529853,1.382238588,-5.09284715,3.53E-07,5.57E-05
evm.model.tig082700000175.205,6449.895485,-6.940419596,1.224896849,-5.666125766,1.46E-08,3.03E-06
evm.model.tig082700000125.264,2855.895912,-6.826129657,1.238894203,-5.509856805,3.59E-08,7.12E-06
evm.model.tig082700000174.196,5905.481325,-6.802716179,1.392653583,-4.884715239,1.04E-06,0.000134141
evm.model.tig082700000071.474,4502.02674,-6.712273812,1.109074352,-6.052140508,1.43E-09,3.75E-07
evm.model.tig082700000377.53,8906.55368,-6.658470618,1.632423762,-4.078886115,4.53E-05,0.002910015
evm.model.tig082700000253.54,10201.50435,-6.632467667,1.576757625,-4.206396443,2.59E-05,0.001905097
evm.model.tig082700000160.175,2125.196826,-6.58421536,1.489058778,-4.421729658,9.79E-06,0.000875995
evm.model.tig082700000287.13,6378.384569,-6.561215244,1.446758365,-4.535114781,5.76E-06,0.000574152
evm.model.tig082700000381.16,6959.000269,-6.538260515,1.252199651,-5.22142017,1.78E-07,3.04E-05
evm.model.tig082700000128.133,1352.839053,-6.523918075,1.457405953,-4.47639044,7.59E-06,0.000715025
evm.model.tig082700000187.92,798.4133251,-6.522578299,1.314419196,-4.962327328,6.97E-07,9.62E-05
evm.model.tig082700000106.130,2733.743248,-6.451985672,1.271126046,-5.075803215,3.86E-07,5.85E-05
evm.model.tig082700000020.606,4396.244606,-6.395889639,1.508688714,-4.239369977,2.24E-05,0.001706178
evm.model.tig082700000185.42,1692.310433,-6.326813381,1.405500453,-4.501466624,6.75E-06,0.000638858
evm.model.tig082700031372.165,3252.111699,-6.324196162,1.575600243,-4.013832943,5.97E-05,0.003582325
evm.model.tig082700000195.68,1398.026947,-6.279984488,1.416939205,-4.432077585,9.33E-06,0.000844903
evm.model.tig082700000149.67,3386.987347,-6.279164308,1.466915275,-4.280522818,1.86E-05,0.001485981
evm.model.tig082700000167.44,5324.765268,-6.275871099,1.418407724,-4.424588918,9.66E-06,0.000870522
evm.model.tig082700000139.164,7579.836962,-6.267005398,1.238841167,-5.058764241,4.22E-07,6.25E-05
evm.model.tig082700000111.262,1498.508489,-6.265404959,1.327496329,-4.719715469,2.36E-06,0.000275276
evm.model.tig082700000160.67,4339.959593,-6.234387379,1.258161213,-4.955157825,7.23E-07,9.91E-05
evm.model.tig082700000075.17,3327.933678,-6.231142029,1.52441945,-4.087550856,4.36E-05,0.002832771
evm.model.tig082700000139.33,2596.089921,-6.223313824,1.612029733,-3.86054531,0.000113134,0.005844434
evm.model.tig082700000210.74,10480.78279,-6.219103831,1.329861016,-4.676506609,2.92E-06,0.000338002
evm.model.tig082700000174.33,2583.759091,-6.213114883,1.006855002,-6.170813942,6.79E-10,1.86E-07
evm.model.tig082700000151.129,1776.717299,-6.199923185,1.298784184,-4.773636192,1.81E-06,0.000217555
evm.model.tig082700000106.49,2867.283719,-6.193392571,0.962256551,-6.436321546,1.22E-10,3.87E-08
evm.model.tig082700000132.21,4150.062186,-6.186654961,1.58558351,-3.901815908,9.55E-05,0.005175843
evm.model.tig082700000111.394,28212.58261,-6.18250913,1.105357271,-5.593222473,2.23E-08,4.52E-06
evm.model.tig082700000331.50,6152.832124,-6.182120459,1.153984963,-5.357193256,8.45E-08,1.55E-05
evm.model.tig082700000127.117,980.7568792,-6.139369351,1.249658183,-4.912838915,8.98E-07,0.000120436
evm.model.tig082700000349.58,3224.562895,-6.128035369,1.403054658,-4.367638378,1.26E-05,0.001089424
evm.model.tig082700000096.32,2022.127035,-6.038418453,1.332004197,-4.533332904,5.81E-06,0.000575939
evm.model.tig082700000132.201,2377.129858,-6.00669697,0.83056906,-7.232025923,4.76E-13,2.96E-10
evm.model.tig082700000113.294,7341.274437,-6.006519127,1.187336584,-5.058817533,4.22E-07,6.25E-05
evm.model.tig082700000238.50,6803.570489,-6.006050924,1.228788717,-4.887781635,1.02E-06,0.000133343
evm.model.tig082700000351.21,4552.970985,-6.003778831,1.342339687,-4.472622607,7.73E-06,0.000724088
evm.model.tig082700000151.130,2626.78027,-5.994937797,1.415740943,-4.234487831,2.29E-05,0.001722575
evm.model.tig082700000210.51,1861.715063,-5.981473616,1.317898968,-4.538643523,5.66E-06,0.000567664
evm.model.tig082700000067.202,19668.07272,-5.967072564,1.837126625,-3.248046423,0.001162003,0.033859681
evm.model.tig082700000151.8,2866.069712,-5.966086072,1.430945982,-4.169330043,3.05E-05,0.00210534
evm.model.tig082700000393.17,5492.881334,-5.928126171,1.103898696,-5.370172272,7.87E-08,1.45E-05
evm.model.tig082700000156.36,9110.541889,-5.926995538,1.453457944,-4.077858297,4.55E-05,0.002912862
evm.model.tig082700000156.65,2534.399269,-5.924469496,1.356948322,-4.366024409,1.27E-05,0.00109242
evm.model.tig082700000292.69,3123.210161,-5.92009321,1.235340403,-4.792276848,1.65E-06,0.000199689
evm.model.tig082700000383.39,2191.146399,-5.895637994,1.462218357,-4.03198193,5.53E-05,0.003412716
evm.model.tig082700000140.218,2092.00997,-5.889693055,1.390780205,-4.234812255,2.29E-05,0.001722575
evm.model.tig082700031374.39,2651.520447,-5.832815724,1.390136051,-4.195859622,2.72E-05,0.001972575
evm.model.tig082700000195.87,4910.279163,-5.828680171,1.205672612,-4.834380504,1.34E-06,0.000163867
evm.model.tig082700000153.37,2046.805445,-5.821441213,1.44949972,-4.016172707,5.92E-05,0.003561111
evm.model.tig082700000258.58,1231.804737,-5.8087325,1.253078603,-4.63556914,3.56E-06,0.000392795
evm.model.tig082700000156.15,3272.157346,-5.7969476,1.326444812,-4.370289323,1.24E-05,0.001081311
evm.model.tig082700000136.23,3544.115451,-5.75203183,1.342664815,-4.284041531,1.84E-05,0.001468938
evm.model.tig082700000208.12,816.4476955,-5.746664429,1.486304726,-3.866410655,0.000110449,0.005753524
evm.model.tig082700000448.3,7052.582928,-5.74458912,1.362924573,-4.214898779,2.50E-05,0.001849287
evm.model.tig082700000113.70,1362.467345,-5.732024864,1.153791027,-4.967992237,6.76E-07,9.49E-05
evm.model.tig082700000310.24,16092.69669,-5.730141602,1.368435854,-4.18736588,2.82E-05,0.002008758
evm.model.tig082700000321.24,1614.104878,-5.724219795,1.3666938,-4.188370353,2.81E-05,0.002007552
evm.model.tig082700000353.28,660.7109101,-5.688317199,1.274949262,-4.461602803,8.13E-06,0.000754764
evm.model.tig082700000136.294,2417.491123,-5.655355519,1.2974662,-4.358769052,1.31E-05,0.001108734
evm.model.tig082700000433.47,869.0695253,-5.611611938,1.37469623,-4.082074144,4.46E-05,0.002881397
evm.model.tig082700000187.91,1598.678854,-5.595314302,1.200725775,-4.659943524,3.16E-06,0.000359671
evm.model.tig082700000419.15,7096.205439,-5.572870998,1.460215375,-3.816471936,0.000135373,0.006750213
evm.model.tig082700000301.10,4815.377043,-5.535916422,1.528880824,-3.620894667,0.000293586,0.012221174
evm.model.tig082700000127.40,5051.107992,-5.528003033,1.255385023,-4.403432358,1.07E-05,0.000941744
evm.model.tig082700000151.102,4839.857316,-5.519558402,1.412976144,-3.906335168,9.37E-05,0.005101782
evm.model.tig082700000283.35,1626.544465,-5.516149045,1.075465589,-5.129080004,2.91E-07,4.72E-05
evm.model.tig082700000153.24,2743.724493,-5.509914275,0.975423629,-5.648739801,1.62E-08,3.31E-06
evm.model.tig082700000195.82,2936.370867,-5.487489309,0.90526406,-6.061755407,1.35E-09,3.59E-07
evm.model.tig082700000160.172,2914.003395,-5.479722438,1.411664244,-3.881746287,0.000103709,0.005524503
evm.model.tig082700000075.609,1912.022975,-5.430422973,1.162159693,-4.672699465,2.97E-06,0.000340106
evm.model.tig082700000187.56,2224.330612,-5.427401641,1.167356536,-4.649309335,3.33E-06,0.000374258
evm.model.tig082700000434.1,2172.6635,-5.388859962,1.444413898,-3.730828102,0.000190851,0.008744934
evm.model.tig082700000149.38,3894.725483,-5.383233222,1.035642039,-5.197967078,2.01E-07,3.35E-05
evm.model.tig082700000016.27,448.8504683,-5.370307326,0.775848989,-6.921846135,4.46E-12,2.19E-09
evm.model.tig082700000163.162,8608.502771,-5.365564541,1.434475224,-3.740437236,0.0001837,0.008587906
evm.model.tig082700000223.17,1945.800941,-5.356791129,1.283946175,-4.172130604,3.02E-05,0.002092047
evm.model.tig082700000016.603,4145.47588,-5.35351912,1.105295873,-4.843516793,1.28E-06,0.000161829
evm.model.tig082700000238.35,391.7860567,-5.322937568,1.299208594,-4.097061545,4.18E-05,0.002737985
evm.model.tig082700000292.62,927.0161486,-5.305914897,1.178062635,-4.503932761,6.67E-06,0.000634707
evm.model.tig082700000172.131,3717.769186,-5.287250831,1.266253517,-4.17550732,2.97E-05,0.0020845
evm.model.tig082700000387.8,1183.634926,-5.286159902,1.328367497,-3.979440866,6.91E-05,0.004000705
evm.model.tig082700000125.19,1712.10096,-5.285057858,1.169271667,-4.519957173,6.19E-06,0.000605008
evm.model.tig082700000433.41,1270.107875,-5.284582289,1.152340311,-4.585956284,4.52E-06,0.000473468
evm.model.tig082700000393.9,4328.776809,-5.284250055,1.364671678,-3.872176831,0.000107868,0.005682553
evm.model.tig082700000283.64,8952.468684,-5.246305843,1.658173557,-3.163906348,0.001556669,0.041951324
evm.model.tig082700000020.227,3213.623528,-5.245685349,1.235326572,-4.246395623,2.17E-05,0.001667182
evm.model.tig082700000167.90,2635.76753,-5.235795579,1.497238852,-3.496967483,0.000470579,0.017657608
evm.model.tig082700000106.66,2228.065353,-5.233894719,1.224230321,-4.2752533,1.91E-05,0.001495995
evm.model.tig082700000136.188,2541.09942,-5.223434403,1.508727674,-3.462145284,0.000535888,0.019481036
evm.model.tig082700000116.199,2435.441264,-5.220785988,1.507762224,-3.462605645,0.000534972,0.019481036
evm.model.tig082700000279.44,3689.060793,-5.183361259,1.329294804,-3.899331617,9.65E-05,0.005203204
evm.model.tig082700000071.69,1572.824641,-5.168332078,1.229871758,-4.202334142,2.64E-05,0.001932013
evm.model.tig082700000020.624,2311.496968,-5.165097426,1.1843424,-4.361152168,1.29E-05,0.001105276
evm.model.tig082700000328.18,3766.955684,-5.148293349,0.842337987,-6.111909267,9.84E-10,2.66E-07
evm.model.tig082700000342.41,488.7525329,-5.147416176,1.258072997,-4.091508353,4.29E-05,0.002794589
evm.model.tig082700000149.62,763.1846612,-5.144705667,1.209563519,-4.253357169,2.11E-05,0.001622843
evm.model.tig082700002117.551,14765.44529,-5.140508316,1.153694927,-4.455691184,8.36E-06,0.000772026
evm.model.tig082700000219.25,920.382134,-5.14036763,1.240551691,-4.143614221,3.42E-05,0.002285169
evm.model.tig082700000208.41,4149.562703,-5.131641552,1.286422617,-3.989079081,6.63E-05,0.003914538
evm.model.tig082700000180.36,3000.965229,-5.126366818,0.869488953,-5.895838927,3.73E-09,8.91E-07
evm.model.tig082700000287.11,1527.367413,-5.125981685,1.22272145,-4.192272642,2.76E-05,0.001983011
evm.model.tig082700000433.50,8770.069591,-5.121333948,1.152838811,-4.442367743,8.90E-06,0.000809406
evm.model.tig082700000160.176,1293.410991,-5.115582984,1.107769294,-4.617913688,3.88E-06,0.000420272
evm.model.tig082700000433.54,4089.725926,-5.115209175,1.283053304,-3.986747208,6.70E-05,0.003940724
evm.model.tig082700000016.654,5298.810345,-5.102766994,1.18147874,-4.318966413,1.57E-05,0.001293561
evm.model.tig082700000113.167,6802.445537,-5.09804409,1.255032993,-4.062079738,4.86E-05,0.003078008
evm.model.tig082700000287.69,5020.893295,-5.068727608,1.271743579,-3.985652212,6.73E-05,0.003946493
evm.model.tig082700000433.46,1467.656593,-5.05562535,1.181807827,-4.277874317,1.89E-05,0.001491023
evm.model.tig082700000259.38,4516.494821,-5.051380357,1.29049867,-3.914285597,9.07E-05,0.004973374
evm.model.tig082700000169.9,3197.718448,-5.008293882,1.390551547,-3.601659998,0.000316192,0.012988237
evm.model.tig082700000167.184,1357.614056,-5.006310425,1.160197474,-4.31505027,1.60E-05,0.001305157
evm.model.tig082700000111.292,480.2188495,-5.004201993,1.342502957,-3.727516551,0.000193376,0.008795772
evm.model.tig082700000365.34,1269.200543,-5.002018936,1.080484738,-4.629421184,3.67E-06,0.000402258
evm.model.tig082700000426.5,711.7008092,-5.000217866,1.404253928,-3.560764734,0.000369776,0.014500835
evm.model.tig082700000184.65,2030.924057,-4.993572209,1.227611851,-4.067712612,4.75E-05,0.003021831
evm.model.tig082700000132.333,2214.606824,-4.98206954,1.246584935,-3.99657448,6.43E-05,0.003829043
evm.model.tig082700000016.906,3477.50881,-4.973175721,1.101727152,-4.513981263,6.36E-06,0.000612325
evm.model.tig082700000132.57,539.8819308,-4.971996041,1.335178681,-3.723843191,0.000196213,0.008881488
evm.model.tig082700000067.295,3082.334288,-4.967036012,1.2754166,-3.894442029,9.84E-05,0.005289707
evm.model.tig082700000225.15,725.1813113,-4.949414345,1.399993938,-3.535311268,0.000407295,0.015628901
evm.model.tig082700000127.97,1330.250469,-4.945004956,1.172588369,-4.217170397,2.47E-05,0.001845408
evm.model.tig082700000446.12,6364.366166,-4.927328322,1.141533188,-4.316412674,1.59E-05,0.001302845
evm.model.tig082700000253.17,10718.89082,-4.924176719,1.34119601,-3.671481783,0.000241148,0.010386083
evm.model.tig082700002117.359,2556.019131,-4.90862614,1.265422391,-3.879041635,0.000104869,0.005555961
evm.model.tig082700000215.105,1779.811805,-4.893821229,1.281112609,-3.819977414,0.000133464,0.006672837
evm.model.tig082700000106.167,1381.540443,-4.86640726,1.340406855,-3.630544891,0.000282824,0.011879224
evm.model.tig082700000127.112,3151.958029,-4.836593515,1.290825732,-3.7468989,0.000179034,0.008474134
evm.model.tig082700000075.324,609.4060218,-4.828335286,1.349801296,-3.577071159,0.000347466,0.014025728
evm.model.tig082700000253.65,12907.89758,-4.815526741,1.315172523,-3.661517144,0.000250726,0.010724291
evm.model.tig082700000122.333,936.4612624,-4.811353481,1.145621855,-4.199774526,2.67E-05,0.00194635
evm.model.tig082700000122.13,714.7839204,-4.801668362,0.830253758,-5.783374436,7.32E-09,1.63E-06
evm.model.tig082700000426.10,3358.814493,-4.793530534,1.469669163,-3.261639186,0.0011077,0.032737725
evm.model.tig082700000140.131,1647.580394,-4.778788135,1.236640753,-3.86433014,0.000111394,0.005786617
evm.model.tig082700031375.65,2171.512517,-4.764088164,1.227505131,-3.881114663,0.000103979,0.005524503
evm.model.tig082700000113.194,6350.161358,-4.763099471,1.154857303,-4.124405204,3.72E-05,0.002458057
evm.model.tig082700000122.83,1538.772602,-4.758338516,1.409662853,-3.375515292,0.000736776,0.024623898
evm.model.tig082700000178.225,975.0271017,-4.754377132,0.81589863,-5.827166458,5.64E-09,1.30E-06
evm.model.tig082700000122.44,199.0609836,-4.752709837,1.140574035,-4.166945494,3.09E-05,0.002108828
evm.model.tig082700000111.348,604.6117577,-4.746321977,1.270912141,-3.734579145,0.000188029,0.008699884
evm.model.tig082700000075.28,4281.090033,-4.741767402,1.014671951,-4.673202407,2.97E-06,0.000340106
evm.model.tig082700000075.34,2384.446924,-4.740394358,1.072206335,-4.42115869,9.82E-06,0.000875995
evm.model.tig082700000160.31,4353.124746,-4.736239792,1.230014031,-3.850557531,0.000117849,0.006015755
